"service_uploaded","device_urn","loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0"
"Jun 10, 2020 @ 18:28:46.000","note:dev:865284040097879","34.065","-118.286",,,"4.33","4.4","4.4"
"Jun 10, 2020 @ 18:28:40.000","note:dev:865284040097879","34.065","-118.286",,,"9.78","11.8","11.8"
"Jun 10, 2020 @ 18:28:35.000","note:dev:865284040097879","34.065","-118.286",,,"11.65","12.7","13.18"
"Jun 10, 2020 @ 18:28:30.000","note:dev:865284040097879","34.065","-118.286",,,"7.75","8.35","8.35"
"Jun 10, 2020 @ 18:27:45.000","note:dev:865284040070785","34.122","-118.261",,,"0.93","1.83","1.93"
"Jun 10, 2020 @ 18:27:39.000","note:dev:865284040070785","34.122","-118.261",,,"0.05","0.15","1.27"
"Jun 10, 2020 @ 18:22:19.000","note:dev:865284040101085","34.172","-118.057",,,"6.65","8.13","8.13"
"Jun 10, 2020 @ 18:22:14.000","note:dev:865284040101085","34.172","-118.057",,,"3.15","3.3","3.3"
"Jun 10, 2020 @ 18:22:09.000","note:dev:865284040101085","34.172","-118.057",,,"2.88","3.6","3.6"
"Jun 10, 2020 @ 18:22:03.000","note:dev:865284040101085","34.172","-118.057",,,"1.5","1.8","1.8"
"Jun 10, 2020 @ 18:21:33.000","safecast:3709008148","42.565","-70.784","37.198","-2.386",593,593,593
"Jun 10, 2020 @ 18:20:58.000","note:dev:864622040009397","42.565","-70.784",,,5,"7.75","9.82"
"Jun 10, 2020 @ 18:14:12.000","safecast:3714913954","52.395","4.875",,,13,18,20
"Jun 10, 2020 @ 18:10:10.000","safecast:678194983","46.555","15.636",,,2,3,3
"Jun 10, 2020 @ 18:06:58.000","note:dev:865284040095295","42.565","-70.784",,,"4.03","6.95","7.55"
"Jun 10, 2020 @ 17:44:18.000","safecast:3714913954","52.395","4.875",,,12,17,17
"Jun 10, 2020 @ 17:44:01.000","note:dev:865284040097945","34.122","-118.261",,,"6.45","6.45","6.45"
"Jun 10, 2020 @ 17:43:55.000","note:dev:865284040097945","34.122","-118.261",,,"0.6","0.75","0.75"
"Jun 10, 2020 @ 17:43:50.000","note:dev:865284040097945","34.122","-118.261",,,"7.53","7.88","7.98"
"Jun 10, 2020 @ 17:43:44.000","note:dev:865284040097945","34.122","-118.261",,,"14.83","15.78","15.8"
"Jun 10, 2020 @ 17:40:10.000","safecast:678194983","46.555","15.636",,,6,8,9
"Jun 10, 2020 @ 17:28:21.000","note:dev:865284040097879","34.065","-118.286",,,"1.85","2.68","2.68"
"Jun 10, 2020 @ 17:28:15.000","note:dev:865284040097879","34.065","-118.286",,,"1.5","1.8","1.88"
"Jun 10, 2020 @ 17:28:10.000","note:dev:865284040097879","34.065","-118.286",,,"4.13","4.3","4.3"
"Jun 10, 2020 @ 17:28:05.000","note:dev:865284040097879","34.065","-118.286",,,"6.5","7.63","9.13"
"Jun 10, 2020 @ 17:22:22.000","note:dev:865284040101085","34.172","-118.057",,,0,"0.18","0.4"
"Jun 10, 2020 @ 17:22:17.000","note:dev:865284040101085","34.172","-118.057",,,"0.4","1.18","1.18"
"Jun 10, 2020 @ 17:22:12.000","note:dev:865284040101085","34.172","-118.057",,,"0.7",1,1
"Jun 10, 2020 @ 17:14:14.000","safecast:3714913954","52.395","4.875",,,12,17,18
"Jun 10, 2020 @ 17:10:10.000","safecast:678194983","46.555","15.636",,,3,4,4
"Jun 10, 2020 @ 16:49:45.000","note:dev:865284040102018","25.038","121.507",,,"9.85","16.45","17.93"
"Jun 10, 2020 @ 16:49:39.000","note:dev:865284040102018","25.038","121.507",,,"11.2","16.5","17.48"
"Jun 10, 2020 @ 16:45:32.000","note:dev:865284040101085","34.172","-118.057",,,0,"0.6","0.6"
"Jun 10, 2020 @ 16:45:27.000","note:dev:865284040101085","34.172","-118.057",,,0,"0.13","0.13"
"Jun 10, 2020 @ 16:45:22.000","note:dev:865284040101085","34.172","-118.057",,,0,0,0
"Jun 10, 2020 @ 16:45:16.000","note:dev:865284040101085","34.172","-118.057",,,0,0,"0.6"
"Jun 10, 2020 @ 16:45:11.000","note:dev:865284040101085","34.172","-118.057",,,0,0,"1.23"
"Jun 10, 2020 @ 16:44:12.000","safecast:3714913954","52.395","4.875",,,10,17,18
"Jun 10, 2020 @ 16:43:55.000","note:dev:865284040097945","34.122","-118.261",,,"1.88","1.95","1.98"
"Jun 10, 2020 @ 16:43:49.000","note:dev:865284040097945","34.122","-118.261",,,"0.73","1.33","1.33"
"Jun 10, 2020 @ 16:43:44.000","note:dev:865284040097945","34.122","-118.261",,,"0.08","0.38","0.55"
"Jun 10, 2020 @ 16:43:38.000","note:dev:865284040097945","34.122","-118.261",,,"0.55","1.15","1.15"
"Jun 10, 2020 @ 16:43:36.000","note:dev:865284040083945","35.665","139.705",,,"1.63","3.78","4.08"
"Jun 10, 2020 @ 16:43:30.000","note:dev:865284040083945","35.665","139.705",,,0,0,0
"Jun 10, 2020 @ 16:41:18.000","note:dev:865284040125720","37.739","-122.503",,,0,1,"2.17"
"Jun 10, 2020 @ 16:41:13.000","note:dev:865284040125720","37.739","-122.503",,,"1.1","3.4","5.3"
"Jun 10, 2020 @ 16:40:10.000","safecast:678194983","46.555","15.636",,,2,4,4
"Jun 10, 2020 @ 16:37:06.000","note:dev:865284040095238","34.122","-118.261",,,"1.08","1.55","1.55"
"Jun 10, 2020 @ 16:37:01.000","note:dev:865284040095238","34.122","-118.261",,,13,0,0
"Jun 10, 2020 @ 16:30:44.000","note:dev:865284040125878","34.483","136.163",,,0,"0.25","0.28"
"Jun 10, 2020 @ 16:30:39.000","note:dev:865284040125878","34.483","136.163",,,"0.13","0.45","0.9"
"Jun 10, 2020 @ 16:27:31.000","note:dev:865284040070785","34.122","-118.261",,,"1.08","2.45","3.18"
"Jun 10, 2020 @ 16:27:31.000","note:dev:865284040097879","34.065","-118.286",,,0,"0.4","1.4"
"Jun 10, 2020 @ 16:27:26.000","note:dev:865284040070785","34.122","-118.261",,,"12.15","14.43","15.03"
"Jun 10, 2020 @ 16:24:11.000","note:dev:865284040095295","42.565","-70.784",,,"4.47","6.35","6.6"
"Jun 10, 2020 @ 16:24:05.000","note:dev:865284040095295","42.565","-70.784",,,"3.23","4.15","4.22"
"Jun 10, 2020 @ 16:24:00.000","note:dev:865284040095295","42.565","-70.784",,,"2.23","3.2","3.28"
"Jun 10, 2020 @ 16:22:52.000","note:dev:865284040097879","34.065","-118.286",,,"1.02","1.58","2.28"
"Jun 10, 2020 @ 16:22:46.000","note:dev:865284040097879","34.065","-118.286",,,"0.9","2.05","2.73"
"Jun 10, 2020 @ 16:22:41.000","note:dev:865284040097879","34.065","-118.286",,,"1.4","1.55","2.15"
"Jun 10, 2020 @ 16:21:02.000","note:dev:864622040009397","42.565","-70.784",,,"4.08","6.9","7.05"
"Jun 10, 2020 @ 16:14:14.000","safecast:3714913954","52.395","4.875",,,14,20,21
"Jun 10, 2020 @ 16:10:10.000","safecast:678194983","46.555","15.636",,,3,5,5
"Jun 10, 2020 @ 15:55:59.000","note:dev:865284040097945","34.122","-118.261",,,1,2,"3.45"
"Jun 10, 2020 @ 15:44:14.000","safecast:3714913954","52.395","4.875",,,14,19,22
"Jun 10, 2020 @ 15:41:44.000","safecast:1238569003","37.523","139.939","26.235","21.787",0,0,0
"Jun 10, 2020 @ 15:40:10.000","safecast:678194983","46.555","15.636",,,7,9,9
"Jun 10, 2020 @ 15:14:14.000","safecast:3714913954","52.395","4.875",,,11,16,16
"Jun 10, 2020 @ 15:10:57.000","safecast:678194983","46.555","15.636",,,0,0,0
"Jun 10, 2020 @ 15:01:09.000","note:dev:865284040097945","34.122","-118.261",,,"3.98","5.93","7.48"
"Jun 10, 2020 @ 15:01:03.000","note:dev:865284040097945","34.122","-118.261",,,"2.85","5.05","5.38"
"Jun 10, 2020 @ 14:44:14.000","safecast:3714913954","52.395","4.875",,,10,14,15
"Jun 10, 2020 @ 14:43:50.000","note:dev:865284040083945","35.665","139.705",,,"2.65","4.35","5.2"
"Jun 10, 2020 @ 14:43:45.000","note:dev:865284040083945","35.665","139.705",,,0,"0.08","0.35"
"Jun 10, 2020 @ 14:40:42.000","note:dev:865284040125720","37.739","-122.503",,,"1.45","3.3","3.53"
"Jun 10, 2020 @ 14:40:40.000","note:dev:865284040101085","34.172","-118.057",,,0,0,"0.18"
"Jun 10, 2020 @ 14:40:37.000","note:dev:865284040125720","37.739","-122.503",,,3,"6.33","9.2"
"Jun 10, 2020 @ 14:40:34.000","note:dev:865284040101085","34.172","-118.057",,,0,"0.25","0.25"
"Jun 10, 2020 @ 14:40:10.000","safecast:678194983","46.555","15.636",,,0,0,0
"Jun 10, 2020 @ 14:40:04.000","note:dev:865284040095238","34.122","-118.261",,,"3.5","5.8","6.13"
"Jun 10, 2020 @ 14:39:59.000","note:dev:865284040095238","34.122","-118.261",,,"1.63","2.7","3.33"
"Jun 10, 2020 @ 14:29:36.000","note:dev:865284040125878","34.483","136.163",,,0,"0.23","0.4"
"Jun 10, 2020 @ 14:29:31.000","note:dev:865284040125878","34.483","136.163",,,0,"0.55","0.55"
"Jun 10, 2020 @ 14:27:54.000","note:dev:865284040070785","34.122","-118.261",,,"3.9","7.25","8.05"
"Jun 10, 2020 @ 14:27:49.000","note:dev:865284040070785","34.122","-118.261",,,"2.83","4.43","6.1"
"Jun 10, 2020 @ 14:14:10.000","safecast:3714913954","52.395","4.875",,,12,17,18
"Jun 10, 2020 @ 14:10:10.000","safecast:678194983","46.555","15.636",,,0,0,0
"Jun 10, 2020 @ 14:07:49.000","note:dev:865284040095295","42.565","-70.784",,,"1.48","1.7","2.25"
"Jun 10, 2020 @ 14:02:32.000","note:dev:864622040009397","42.565","-70.784",,,"0.53","0.7","1.63"
"Jun 10, 2020 @ 14:02:27.000","note:dev:864622040009397","42.565","-70.784",,,"1.6","2.53","3.7"
"Jun 10, 2020 @ 14:02:21.000","note:dev:864622040009397","42.565","-70.784",,,"2.15","3.75","3.75"
"Jun 10, 2020 @ 14:02:16.000","note:dev:864622040009397","42.565","-70.784",,,"1.78","2.48","3.93"
"Jun 10, 2020 @ 13:44:14.000","safecast:3714913954","52.395","4.875",,,12,17,18
"Jun 10, 2020 @ 13:14:12.000","safecast:3714913954","52.395","4.875",,,9,13,14
"Jun 10, 2020 @ 13:10:10.000","safecast:678194983","46.555","15.636",,,0,0,0
"Jun 10, 2020 @ 13:01:26.000","note:dev:865284040097945","34.122","-118.261",,,"1.4","2.55","3.78"
"Jun 10, 2020 @ 13:01:21.000","note:dev:865284040097945","34.122","-118.261",,,"1.38","2.3","2.38"
"Jun 10, 2020 @ 12:49:53.000","note:dev:865284040102018","25.038","121.507",,,"8.63","13.13","14.4"
"Jun 10, 2020 @ 12:49:48.000","note:dev:865284040102018","25.038","121.507",,,"10.93","16.83","16.83"
"Jun 10, 2020 @ 12:44:12.000","safecast:3714913954","52.395","4.875",,,12,17,18
"Jun 10, 2020 @ 12:41:57.000","note:dev:865284040125720","37.739","-122.503",,,3,"6.65","8.82"
"Jun 10, 2020 @ 12:41:51.000","note:dev:865284040125720","37.739","-122.503",,,"5.98",13,"14.35"
"Jun 10, 2020 @ 12:37:59.000","note:dev:865284040095238","34.122","-118.261",,,"0.73","1.8","2.17"
"Jun 10, 2020 @ 12:37:53.000","note:dev:865284040095238","34.122","-118.261",,,"0.88","1.55","1.93"
"Jun 10, 2020 @ 12:29:29.000","note:dev:865284040125878","34.483","136.163",,,"0.1","0.25","0.25"
"Jun 10, 2020 @ 12:29:23.000","note:dev:865284040125878","34.483","136.163",,,0,0,0
"Jun 10, 2020 @ 12:28:43.000","note:dev:865284040097879","34.065","-118.286",,,"0.08","1.05","1.38"
"Jun 10, 2020 @ 12:28:38.000","note:dev:865284040097879","34.065","-118.286",,,"0.15",1,1
"Jun 10, 2020 @ 12:28:33.000","note:dev:865284040097879","34.065","-118.286",,,"0.13","0.68","0.98"
"Jun 10, 2020 @ 12:27:30.000","note:dev:865284040070785","34.122","-118.261",,,"2.83","4.15","4.38"
"Jun 10, 2020 @ 12:27:23.000","note:dev:865284040070785","34.122","-118.261",,,"4.03","5.1","5.65"
"Jun 10, 2020 @ 12:25:56.000","note:dev:865284040083945","35.665","139.705",,,0,0,0
"Jun 10, 2020 @ 12:25:50.000","note:dev:865284040083945","35.665","139.705",,,0,0,"0.75"
"Jun 10, 2020 @ 12:24:41.000","safecast:1045649384","37.739","-122.502","13.276","95.224",4,6,7
"Jun 10, 2020 @ 12:24:14.000","note:dev:865284040095295","42.565","-70.784",,,"1.2","1.8","1.8"
"Jun 10, 2020 @ 12:24:08.000","note:dev:865284040095295","42.565","-70.784",,,0,"0.8","1.18"
"Jun 10, 2020 @ 12:24:03.000","note:dev:865284040095295","42.565","-70.784",,,"0.23","0.25","0.25"
"Jun 10, 2020 @ 12:14:13.000","safecast:3714913954","52.395","4.875",,,9,13,14
"Jun 10, 2020 @ 12:10:10.000","safecast:678194983","46.555","15.636",,,1,2,2
"Jun 10, 2020 @ 11:56:32.000","safecast:479911182","34.483","136.163","19.767","80.833",0,0,0
"Jun 10, 2020 @ 11:51:47.000","safecast:2299238163","34.112","-118.255","15.861","30.254",1,1,1
"Jun 10, 2020 @ 11:44:14.000","safecast:3714913954","52.395","4.875",,,9,12,13
"Jun 10, 2020 @ 11:40:10.000","safecast:678194983","46.555","15.636",,,2,3,3
"Jun 10, 2020 @ 11:14:14.000","safecast:3714913954","52.395","4.875",,,6,8,9
"Jun 10, 2020 @ 11:10:10.000","safecast:678194983","46.555","15.636",,,4,5,5
"Jun 10, 2020 @ 11:00:58.000","note:dev:865284040097945","34.122","-118.261",,,"0.85","1.63","2.63"
"Jun 10, 2020 @ 11:00:52.000","note:dev:865284040097945","34.122","-118.261",,,"0.05","0.45","0.98"
"Jun 10, 2020 @ 10:44:14.000","safecast:3714913954","52.395","4.875",,,6,8,8
"Jun 10, 2020 @ 10:43:28.000","note:dev:865284040083945","35.665","139.705",,,"2.75","2.98","2.98"
"Jun 10, 2020 @ 10:43:22.000","note:dev:865284040083945","35.665","139.705",,,0,0,0
"Jun 10, 2020 @ 10:42:04.000","note:dev:865284040095238","34.122","-118.261",,,0,"0.08","0.08"
"Jun 10, 2020 @ 10:41:58.000","note:dev:865284040095238","34.122","-118.261",,,"0.08","0.83","0.98"
"Jun 10, 2020 @ 10:40:22.000","note:dev:865284040125720","37.739","-122.503",,,"3.13","6.93","10.88"
"Jun 10, 2020 @ 10:40:16.000","note:dev:865284040125720","37.739","-122.503",,,"4.47","8.05","10.58"
"Jun 10, 2020 @ 10:40:10.000","safecast:678194983","46.555","15.636",,,3,3,4
"Jun 10, 2020 @ 10:39:47.000","note:dev:865284040101085","34.172","-118.057",,,0,"0.05","0.05"
"Jun 10, 2020 @ 10:28:52.000","note:dev:865284040125878","34.483","136.163",,,0,0,0
"Jun 10, 2020 @ 10:27:45.000","note:dev:865284040070785","34.122","-118.261",,,"0.55","0.8","1.05"
"Jun 10, 2020 @ 10:27:40.000","note:dev:865284040070785","34.122","-118.261",,,"14.9","15.15","15.15"
"Jun 10, 2020 @ 10:14:12.000","safecast:3714913954","52.395","4.875",,,6,8,9
"Jun 10, 2020 @ 10:12:12.000","safecast:2670856639","34.452","-119.822","16.175","45.236",1,1,1
"Jun 10, 2020 @ 10:10:10.000","safecast:678194983","46.555","15.636",,,3,4,4
"Jun 10, 2020 @ 10:07:37.000","note:dev:865284040095295","42.565","-70.784",,,"0.8","1.43","1.75"
"Jun 10, 2020 @ 09:44:25.000","safecast:3714913954","52.395","4.875",,,4,6,6
"Jun 10, 2020 @ 09:10:10.000","safecast:678194983","46.555","15.636",,,5,7,7
"Jun 10, 2020 @ 09:03:09.000","note:dev:865284040095295","42.565","-70.784",,,"0.8","1.7","1.78"
"Jun 10, 2020 @ 09:01:12.000","note:dev:865284040097945","34.122","-118.261",,,"0.08","0.83","0.83"
"Jun 10, 2020 @ 09:01:07.000","note:dev:865284040097945","34.122","-118.261",,,"0.08","0.3","0.3"
"Jun 10, 2020 @ 08:50:06.000","note:dev:865284040102018","25.038","121.507",,,"9.32","14.48","15.03"
"Jun 10, 2020 @ 08:50:01.000","note:dev:865284040102018","25.038","121.507",,,"13.08","18.88","19.27"
"Jun 10, 2020 @ 08:44:32.000","safecast:3714913954","52.395","4.875",,,6,8,8
"Jun 10, 2020 @ 08:43:38.000","note:dev:865284040083945","35.665","139.705",,,"0.25","0.25","0.25"
"Jun 10, 2020 @ 08:43:32.000","note:dev:865284040083945","35.665","139.705",,,"0.7","1.55","1.55"
"Jun 10, 2020 @ 08:41:21.000","note:dev:865284040095238","34.122","-118.261",,,"0.18",1,"1.68"
"Jun 10, 2020 @ 08:41:16.000","note:dev:865284040095238","34.122","-118.262",,,0,0,0
"Jun 10, 2020 @ 08:38:29.000","note:dev:865284040125720","37.739","-122.503",,,"5.5","9.5","12.2"
"Jun 10, 2020 @ 08:38:23.000","note:dev:865284040125720","37.739","-122.503",,,"3.93","8.23","10.65"
"Jun 10, 2020 @ 08:30:31.000","note:dev:865284040097879","34.065","-118.286",,,"0.6","1.53",2
"Jun 10, 2020 @ 08:30:26.000","note:dev:865284040097879","34.065","-118.286",,,0,"0.08","0.38"
"Jun 10, 2020 @ 08:29:02.000","note:dev:865284040125878","34.483","136.163",,,0,0,0
"Jun 10, 2020 @ 08:28:57.000","note:dev:865284040125878","34.483","136.163",,,0,0,0
"Jun 10, 2020 @ 08:28:00.000","note:dev:865284040070785","34.122","-118.261",,,"0.08","0.1","0.5"
"Jun 10, 2020 @ 08:27:55.000","note:dev:865284040070785","34.122","-118.261",,,"12.05","14.8","16.38"
"Jun 10, 2020 @ 08:14:13.000","safecast:3714913954","52.395","4.875",,,7,10,10
"Jun 10, 2020 @ 08:10:10.000","safecast:678194983","46.555","15.636",,,4,6,6
"Jun 10, 2020 @ 08:02:56.000","note:dev:865284040095295","42.565","-70.784",,,"0.08","0.95","0.95"
"Jun 10, 2020 @ 08:02:31.000","note:dev:864622040009397","42.565","-70.784",,,"1.23","1.98","2.95"
"Jun 10, 2020 @ 08:02:26.000","note:dev:864622040009397","42.565","-70.784",,,"1.48","2.1","2.85"
"Jun 10, 2020 @ 08:02:21.000","note:dev:864622040009397","42.565","-70.784",,,0,"0.23","0.23"
"Jun 10, 2020 @ 08:02:16.000","note:dev:864622040009397","42.565","-70.784",,,"0.9","1.5","1.95"
"Jun 10, 2020 @ 08:02:10.000","note:dev:864622040009397","42.565","-70.784",,,"0.8","2.48","2.93"
"Jun 10, 2020 @ 07:52:06.000","safecast:4267748403","34.122","-118.261","23.541","7.343",1,1,1
"Jun 10, 2020 @ 07:44:14.000","safecast:3714913954","52.395","4.875",,,8,11,11
"Jun 10, 2020 @ 07:40:11.000","safecast:678194983","46.555","15.636",,,9,11,11
"Jun 10, 2020 @ 07:22:40.000","note:dev:865284040101085","34.172","-118.057",,,0,"0.53","0.53"
"Jun 10, 2020 @ 07:22:35.000","note:dev:865284040101085","34.172","-118.057",,,"2.95","3.1","3.1"
"Jun 10, 2020 @ 07:22:29.000","note:dev:865284040101085","34.172","-118.057",,,"2.5","2.58","2.58"
"Jun 10, 2020 @ 07:22:24.000","note:dev:865284040101085","34.172","-118.057",,,"0.63","0.85","1.98"
"Jun 10, 2020 @ 07:22:19.000","note:dev:865284040101085","34.172","-118.057",,,0,0,0
"Jun 10, 2020 @ 07:22:14.000","note:dev:865284040101085","34.172","-118.057",,,0,"0.1","0.1"
"Jun 10, 2020 @ 07:22:08.000","note:dev:865284040101085","34.172","-118.057",,,0,0,"0.03"
"Jun 10, 2020 @ 07:22:03.000","note:dev:865284040101085","34.172","-118.057",,,"0.08","0.25","0.25"
"Jun 10, 2020 @ 07:21:58.000","note:dev:865284040101085","34.172","-118.057",,,"1.78",3,"3.65"
"Jun 10, 2020 @ 07:21:52.000","note:dev:865284040101085","34.172","-118.057",,,"2.85","2.85","2.85"
"Jun 10, 2020 @ 07:21:47.000","note:dev:865284040101085","34.172","-118.057",,,0,0,0
"Jun 10, 2020 @ 07:21:42.000","note:dev:865284040101085","34.172","-118.057",,,0,"0.08","0.08"
"Jun 10, 2020 @ 07:21:37.000","note:dev:865284040101085","34.172","-118.057",,,0,0,0
"Jun 10, 2020 @ 07:21:31.000","note:dev:865284040101085","34.172","-118.057",,,"0.98","1.6","1.6"
"Jun 10, 2020 @ 07:21:26.000","note:dev:865284040101085","34.172","-118.057",,,"2.55","3.9","3.9"
"Jun 10, 2020 @ 07:14:18.000","safecast:3714913954","52.395","4.875",,,4,7,7
"Jun 10, 2020 @ 07:10:10.000","safecast:678194983","46.555","15.636",,,5,7,8
"Jun 10, 2020 @ 07:01:20.000","note:dev:865284040097945","34.122","-118.261",,,0,"0.08","0.08"
"Jun 10, 2020 @ 07:01:15.000","note:dev:865284040097945","34.122","-118.261",,,0,"0.08","0.48"
"Jun 10, 2020 @ 06:44:24.000","note:dev:865284040083945","35.665","139.705",,,0,0,0
"Jun 10, 2020 @ 06:44:19.000","note:dev:865284040083945","35.665","139.705",,,0,0,0
"Jun 10, 2020 @ 06:44:14.000","note:dev:865284040083945","35.665","139.705",,,0,0,0
"Jun 10, 2020 @ 06:44:12.000","safecast:3714913954","52.395","4.875",,,9,12,13
"Jun 10, 2020 @ 06:41:20.000","note:dev:865284040125720","37.739","-122.503",,,"3.08","8.07","11.45"
"Jun 10, 2020 @ 06:41:14.000","note:dev:865284040125720","37.739","-122.503",,,"4.13","9.53","13.18"
"Jun 10, 2020 @ 06:40:10.000","safecast:678194983","46.555","15.636",,,7,9,10
"Jun 10, 2020 @ 06:36:33.000","note:dev:865284040095238","34.122","-118.262",,,"0.45","0.78","1.48"
"Jun 10, 2020 @ 06:36:27.000","note:dev:865284040095238","34.122","-118.262",,,0,0,"0.03"
"Jun 10, 2020 @ 06:34:57.000","safecast:1045649384","37.739","-122.503","15.217","80.861",3,4,5
"Jun 10, 2020 @ 06:30:08.000","note:dev:865284040097879","34.065","-118.286",,,0,0,0
"Jun 10, 2020 @ 06:30:02.000","note:dev:865284040097879","34.065","-118.286",,,0,0,0
"Jun 10, 2020 @ 06:27:30.000","note:dev:865284040070785","34.122","-118.261",,,0,0,0
"Jun 10, 2020 @ 06:27:24.000","note:dev:865284040070785","34.122","-118.261",,,"22.58","26.55","26.7"
"Jun 10, 2020 @ 06:14:14.000","safecast:3714913954","52.395","4.875",,,4,6,7
"Jun 10, 2020 @ 06:10:11.000","safecast:678194983","46.555","15.636",,,6,8,10
"Jun 10, 2020 @ 06:06:03.000","note:dev:865284040095295","42.565","-70.784",,,"0.53","1.27","1.27"
"Jun 10, 2020 @ 06:05:57.000","note:dev:865284040095295","42.565","-70.784",,,1,"1.83","1.83"
"Jun 10, 2020 @ 06:05:52.000","note:dev:865284040095295","42.565","-70.784",,,"1.45","3.35","3.35"
"Jun 10, 2020 @ 06:05:47.000","note:dev:865284040095295","42.565","-70.784",,,"0.25","0.55","0.55"
"Jun 10, 2020 @ 06:05:42.000","note:dev:865284040095295","42.565","-70.784",,,"1.05","1.38","1.38"
"Jun 10, 2020 @ 06:05:36.000","note:dev:865284040095295","42.565","-70.784",,,"0.4","1.13","1.27"
"Jun 10, 2020 @ 05:50:52.000","note:dev:865284040125878","34.483","136.163",,,0,"0.08","0.08"
"Jun 10, 2020 @ 05:50:46.000","note:dev:865284040125878","34.483","136.163",,,0,0,0
"Jun 10, 2020 @ 05:50:41.000","note:dev:865284040125878","34.483","136.163",,,"0.23","0.3","0.3"
"Jun 10, 2020 @ 05:50:36.000","note:dev:865284040125878","34.483","136.163",,,0,0,0
"Jun 10, 2020 @ 05:44:17.000","safecast:3714913954","52.395","4.875",,,5,7,7
"Jun 10, 2020 @ 05:40:10.000","safecast:678194983","46.555","15.636",,,5,7,8
"Jun 10, 2020 @ 05:14:13.000","safecast:3714913954","52.395","4.875",,,5,8,9
"Jun 10, 2020 @ 05:10:11.000","safecast:678194983","46.555","15.636",,,6,9,10
"Jun 10, 2020 @ 05:01:28.000","note:dev:865284040097945","34.122","-118.261",,,0,0,"0.05"
"Jun 10, 2020 @ 05:01:22.000","note:dev:865284040097945","34.122","-118.261",,,0,0,0
"Jun 10, 2020 @ 04:45:27.000","note:dev:865284040102018","25.038","121.507",,,"0.48","1.33","1.63"
"Jun 10, 2020 @ 04:45:22.000","note:dev:865284040102018","25.038","121.507",,,"0.18","1.53","1.53"
"Jun 10, 2020 @ 04:44:13.000","safecast:3714913954","52.395","4.875",,,25,32,36
"Jun 10, 2020 @ 04:41:34.000","note:dev:865284040125720","37.739","-122.503",,,3,"4.95","6.83"
"Jun 10, 2020 @ 04:41:28.000","note:dev:865284040125720","37.739","-122.503",,,"0.55","3.28","6.25"
"Jun 10, 2020 @ 04:40:11.000","safecast:678194983","46.555","15.636",,,5,8,9
"Jun 10, 2020 @ 04:36:22.000","note:dev:865284040095238","34.122","-118.262",,,0,0,0
"Jun 10, 2020 @ 04:36:17.000","note:dev:865284040095238","34.122","-118.262",,,0,0,0
"Jun 10, 2020 @ 04:30:40.000","note:dev:865284040097879","34.065","-118.286",,,0,"0.08","0.08"
"Jun 10, 2020 @ 04:30:35.000","note:dev:865284040097879","34.065","-118.286",,,0,0,0
"Jun 10, 2020 @ 04:27:43.000","note:dev:865284040070785","34.122","-118.261",,,0,0,0
"Jun 10, 2020 @ 04:26:21.000","note:dev:865284040083945","35.665","139.705",,,"0.85","1.48","1.75"
"Jun 10, 2020 @ 04:26:16.000","note:dev:865284040083945","35.665","139.705",,,"0.05","0.1","0.1"
"Jun 10, 2020 @ 04:26:11.000","note:dev:865284040083945","35.665","139.705",,,0,0,0
"Jun 10, 2020 @ 04:26:05.000","note:dev:865284040083945","35.665","139.705",,,"1.95","2.1","2.1"
"Jun 10, 2020 @ 04:14:12.000","safecast:3714913954","52.395","4.875",,,17,22,24
"Jun 10, 2020 @ 04:10:12.000","safecast:678194983","46.555","15.636",,,5,7,8
"Jun 10, 2020 @ 03:44:15.000","safecast:3714913954","52.395","4.875",,,9,11,12
"Jun 10, 2020 @ 03:40:10.000","safecast:678194983","46.555","15.636",,,4,6,6
"Jun 10, 2020 @ 03:31:42.000","safecast:1238569003","37.523","139.939","55.435","-36.629",0,0,0
"Jun 10, 2020 @ 03:27:05.000","note:dev:865284040083945","35.665","139.705",,,"6.6","7.73","7.73"
"Jun 10, 2020 @ 03:26:59.000","note:dev:865284040083945","35.665","139.705",,,"4.85","5.63","6.53"
"Jun 10, 2020 @ 03:26:54.000","note:dev:865284040083945","35.665","139.705",,,"4.08","4.95","4.95"
"Jun 10, 2020 @ 03:26:49.000","note:dev:865284040083945","35.665","139.705",,,"3.23","3.6","3.6"
"Jun 10, 2020 @ 03:14:14.000","safecast:3714913954","52.395","4.875",,,3,4,5
"Jun 10, 2020 @ 03:10:58.000","safecast:678194983","46.555","15.636",,,4,5,6
"Jun 10, 2020 @ 02:44:14.000","safecast:3714913954","52.395","4.875",,,4,6,6
"Jun 10, 2020 @ 02:43:32.000","note:dev:865284040097945","34.122","-118.261",,,0,0,"0.1"
"Jun 10, 2020 @ 02:43:27.000","note:dev:865284040097945","34.122","-118.261",,,0,0,0
"Jun 10, 2020 @ 02:40:11.000","safecast:678194983","46.555","15.636",,,3,4,5
"Jun 10, 2020 @ 02:38:45.000","note:dev:865284040125720","37.739","-122.503",,,0,"1.48","2.38"
"Jun 10, 2020 @ 02:38:40.000","note:dev:865284040125720","37.739","-122.503",,,0,"1.98","1.98"
"Jun 10, 2020 @ 02:38:34.000","note:dev:865284040125720","37.739","-122.503",,,0,"1.75","3.15"
"Jun 10, 2020 @ 02:37:12.000","note:dev:865284040095238","34.122","-118.262",,,0,0,0
